usual_res_pop, sa2_name16, ur_pop_wthout_sa1_level_score_%, state_rank, national_percentile, national_decile, national_rank, state, score, sa2_main16, state_percentile, state_decile, max_sa1_score_in_area, min_sa1_score_in_area
13409,"Narre Warren - North East",0.0,320,72,8,1554,"VIC",1039,"212021455",71,8,1130,910
10812,"Kensington (Vic.)",0.25,86,24,3,511,"VIC",954,"206041121",19,2,1069,708
9251,"Murrumbeena",0.0,223,54,6,1161,"VIC",1007,"208021181",50,5,1107,880
14191,"Chelsea - Bonbeach",0.0,171,42,5,899,"VIC",987,"208031186",38,4,1069,904
6706,"Research - North Warrandyte",0.0,453,99,10,2152,"VIC",1140,"209031214",100,10,1190,1088
22808,"Lalor",0.04,100,27,3,575,"VIC",960,"209041219",22,3,1089,865
4271,"The Basin",0.0,374,81,9,1762,"VIC",1061,"211011449",83,9,1116,1014
12429,"Noble Park - East",0.0,26,9,1,176,"VIC",899,"212041459",6,1,956,805
22407,"Clayton",9.87,10,4,1,78,"VIC",863,"212051320",3,1,1015,734
9657,"Cairnlea",0.0,356,77,8,1681,"VIC",1052,"213011329",79,8,1110,997
23836,"Langwarrin",0.0,361,78,8,1704,"VIC",1054,"214011374",80,8,1183,891
16148,"Mitcham (Vic.)",0.0,274,64,7,1395,"VIC",1026,"211041270",61,7,1129,891
9707,"Mount Dandenong - Olinda",0.22,418,89,9,1928,"VIC",1084,"211051282",92,10,1139,1018
30499,"Richmond (Vic.)",0.01,65,18,2,387,"VIC",941,"206071144",15,2,1068,550
18466,"Thornbury",0.0,116,30,3,636,"VIC",965,"206021112",26,3,1044,854
85,"Flemington Racecourse",0.0,62,18,2,379,"VIC",940,"206041120",14,2,940,940
13698,"Wattle Glen - Diamond Creek",0.04,436,92,10,2012,"VIC",1099,"209031215",96,10,1194,971
12048,"South Morang (North)",0.0,414,88,9,1917,"VIC",1082,"209041435",91,10,1168,996
12831,"Gisborne",0.1,432,92,10,1994,"VIC",1095,"210021232",95,10,1164,790
9702,"Mount Evelyn",0.0,386,83,9,1815,"VIC",1068,"211051283",85,9,1133,1005
13357,"Endeavour Hills - South",0.02,303,69,7,1509,"VIC",1035,"212021454",67,7,1138,953
22430,"Dandenong North",0.0,101,27,3,576,"VIC",960,"212041312",23,3,1078,773
20216,"Hillside",0.0,410,87,9,1902,"VIC",1080,"213041355",91,10,1158,957
19900,"Caroline Springs",0.0,350,77,8,1664,"VIC",1050,"213041463",77,8,1188,893
19861,"Werribee - East",0.0,52,16,2,336,"VIC",933,"213051467",12,2,1114,778
5604,"Hadfield",0.07,97,26,3,565,"VIC",959,"210031440",22,3,1019,831
13926,"Wantirna",2.38,344,76,8,1650,"VIC",1048,"211011259",76,8,1130,805
24667,"Northcote",0.0,196,47,5,1019,"VIC",998,"206021111",44,5,1080,875
14250,"Moonee Ponds",0.07,227,54,6,1173,"VIC",1008,"206031116",50,5,1093,816
7691,"Ivanhoe East - Eaglemont",0.0,439,93,10,2030,"VIC",1103,"209011201",97,10,1191,1013
9428,"Strathmore",0.0,409,87,9,1901,"VIC",1080,"210011231",90,9,1131,1022
4010,"Riddells Creek",0.0,431,92,10,1991,"VIC",1094,"210021234",95,10,1150,1021
9524,"Ringwood North",0.0,428,91,10,1978,"VIC",1092,"211031268",95,10,1174,1003
11306,"Doveton",0.03,15,5,1,108,"VIC",879,"212021295",4,1,960,759
5124,"Seabrook",0.0,271,64,7,1386,"VIC",1026,"213021345",60,6,1069,948
17123,"Point Nepean",0.02,235,55,6,1188,"VIC",1009,"214021383",52,6,1113,889
15166,"Hawthorn East",0.0,246,58,6,1247,"VIC",1013,"207011152",55,6,1169,870
17552,"Box Hill North",0.0,253,59,6,1276,"VIC",1016,"207031164",56,6,1115,865
18630,"Noble Park - West",0.0,33,10,1,205,"VIC",909,"212041460",8,1,973,816
11700,"Sunshine North",0.0,43,12,2,259,"VIC",921,"213011337",10,1,1153,830
10115,"Flemington",0.0,4,3,1,55,"VIC",832,"206031115",1,1,1030,528
10965,"Docklands",0.29,18,7,1,136,"VIC",889,"206041118",4,1,1035,793
