empl_ind_construction_%, agri_gross_value_livestock_m$, indstry_bus_trnsprt_pst_wrhsng_cnt, indstry_bus_prof_sci_tech_cnt, vhcl_light_rigid_truck, insolv_tot_debator_entr_bus_rel_per_insolv, agri_meat_chiecken_cnt, agri_broadacre_tot_area, bus_exit_20_plus_emply_cnt, year, vhcl_non_freight_truck, bus_exit_no_emply_cnt, empl_ind_admin_safety_%, fuel_type_diesel, bus_no_emply_cnt, bld_app_priv_dwl_exc_hs_cnt, sel_cause_non_bus_rel_insolv_caused_by_unemploy_loss_income, empl_ind_mnfctrng_%, res_prop_att_dwl_trnsfrs_cnt, indstry_bus_construction_cnt, vhcl_reg_over_10_yrs, vhcl_light_commercial, indstry_bus_mining_cnt, vhcl_heavy_rigid_truck, occ_debtor_service_worker, fuel_type_electric, vhcl_tot, p_t_trdmrk_apps_cnt, indstry_bus_hlth_soc_ass_cnt, indstry_bus_art_rec_cnt, agri_meat_cattle_cnt, empl_ind_admin_supp_%, bld_app_tot_priv_dwl_val_aud, bus_exit_5_19_emply_cnt, indstry_bus_admin_supp_cnt, bld_app_tot_non_res_bld_val_aud, occ_debtor_technician_trade, indstry_bus_retail_trd_cnt, vhcl_reg_less_than_5_yrs, vhcl_campervans, bld_app_tot_priv_dwl_cnt, indstry_bus_financ_insur_cnt, agri_gross_value_agri_production_m$, empl_ind_whlsle_trd_%, indstry_bus_accom_food_cnt, bld_app_priv_hse_cnt, fuel_type_petrol, vhcl_passenger, occ_debtor_professional, indstry_bus_tot_cnt, empl_ind_oth_serv_%, bld_app_priv_hse_val_aud, sel_cause_bus_rel_insolv_caused_by_economic, bld_app_priv_dwl_exc_hs_val_aud, indstry_bus_current_unkwn_cnt, indstry_bus_whlsle_trd_cnt, tourist_accom_over_15_rooms, bus_entr_tot_cnt, agri_area_holding, empl_ind_mining_%, occ_debtor_other_unkwn, empl_ind_edu_train_%, agri_veg_human_consumption, bus_entr_no_emply_cnt, bus_20_plus_emply_cnt, indstry_bus_ag_frst_fsh_cnt, indstry_bus_oth_serv_cnt, p_t_patent_apps_cnt, indstry_bus_rent_rl_est_cnt, indstry_bus_infomedia_telecom_cnt, bus_entr_5_19_emply_cnt, bld_app_tot_res_bld_val_aud, occ_debtor_sales_worker, indstry_bus_mnfctrng_cnt, bus_entr_20_plus_emply_cnt, indstry_bus_edu_train_cnt, agri_gross_value_crops_m$, res_prop_att_dwl_med_sal_prc_aud, empl_ind_hlth_soc_assist_%, agri_fruit_nut_orchard_tree, occ_debtor_machinery_op_driver, vhcl_motorcycles, empl_ind_ag_frst_fsh_%, empl_tot, bus_tot_cnt, agri_dairy_cattle_cnt, occ_debtor_labourer, bld_app_tot_dwl_cnt, empl_ind_prof_sci_tech_cnt_%, agri_sheep_cnt, sa2_main16, bus_5_19_emply_cnt, empl_ind_retail_trd_%, fuel_type_lpg_dual_other, insolv_tot_debator_entr_per_insolv, bus_entr_1_4_emply_cnt, occ_debtor_clerical_admin, empl_ind_trnsprt_pst_wrhsng_%, sel_cause_non_bus_rel_insolv_caused_by_excess_credit_use, empl_ind_elc_gs_wtr_wst_%, res_prop_hse_med_sal_prc_aud, empl_ind_rent_rl_est_%, agri_pig_cnt, vhcl_buses, insolv_tot_debator_entr_non_bus_rel_per_insolv, sa2_name16, bus_exit_tot_cnt, empl_ind_financ_insur_%, indstry_bus_elc_gs_wtr_wst_cnt, bld_app_tot_bld_val_aud, res_prop_hse_trnsfs_cnt, vhcl_reg_5_to_10, bus_1_4_emply_cnt, empl_ind_accom_food_%, empl_ind_art_rec_%, occ_debtor_manager, bus_exit_1_4_emply_cnt, indstry_bus_pub_admin_safety_cnt, vhcl_articulated_truck, empl_ind_infomedia_telecom_%
null,null,42,629,35,null,null,null,5,2016,null,274,null,1374,1823,111,null,null,null,232,4386,644,8,31,null,12,11013,null,258,71,null,null,64.0,20,99,14.0,null,235,3234,8,118,360,null,null,205,7,9494,9807,null,2966,null,26.0,null,39.0,44,116,1,492,null,null,null,null,null,349,66,24,115,null,319,91,19,66.0,null,59,5,50,null,null,null,null,null,451,null,null,2966,null,null,118,null,null,"206061136",296,null,154,null,116,null,null,null,null,null,null,null,34,null,"Prahran  Windsor",369,null,5,79.0,null,3387,773,null,null,null,75,9,3,null
null,null,300,69,60,null,null,null,null,2016,12,127,null,1294,793,117,null,null,null,251,8659,1317,null,166,null,3,14982,null,62,null,null,null,39.0,6,57,20.0,null,98,2586,15,185,41,null,null,58,68,12863,13004,null,1221,null,18.0,null,21.0,23,44,null,255,null,null,null,null,null,179,5,8,63,null,84,11,10,40.0,null,38,null,9,null,null,null,null,null,351,null,null,1221,null,null,185,null,null,"209041219",70,null,829,null,67,null,null,null,null,null,null,null,18,null,"Lalor",173,null,3,60.0,null,3718,354,null,null,null,36,null,39,null
null,null,47,404,42,null,null,null,5,2016,4,169,null,788,1052,261,null,null,null,137,2066,623,3,28,null,9,5260,null,61,83,null,null,73.0,10,71,10.0,null,179,1618,6,263,134,null,null,96,2,4327,4274,null,1916,null,3.0,null,70.0,38,143,null,283,null,null,null,null,null,185,91,8,56,null,255,70,16,75.0,null,95,3,23,null,null,null,null,null,264,null,null,1916,null,null,263,null,null,"206071141",267,null,159,null,84,null,null,null,null,null,null,null,16,null,"Collingwood",234,null,12,86.0,null,1573,499,null,null,null,51,9,3,null
null,null,48,168,39,null,null,null,null,2016,null,103,null,1466,632,16,null,null,null,218,5637,993,null,46,null,5,12931,null,76,19,null,null,21.0,6,49,1.0,null,53,3344,17,42,84,null,null,36,26,11159,11350,null,972,null,15.0,null,6.0,9,39,1,161,null,null,null,null,null,122,6,8,33,null,87,7,3,21.0,null,24,null,23,null,null,null,null,null,445,null,null,972,null,null,42,null,null,"209011203",50,null,308,null,44,null,null,null,null,null,null,null,35,null,"Viewbank  Yallambie",144,null,null,22.0,null,3944,282,null,null,null,29,4,6,null
null,null,72,437,28,null,null,null,3,2016,11,189,null,710,1146,77,null,null,null,101,2598,404,null,22,null,3,5690,null,188,80,null,null,47.0,18,78,20.0,null,163,1373,8,80,118,null,null,198,3,4839,4929,null,2054,null,13.0,null,35.0,29,85,3,331,null,null,null,null,null,222,83,17,58,null,223,77,21,48.0,null,87,null,34,null,null,null,null,null,246,null,null,2054,null,null,80,null,null,"206071142",259,null,152,null,81,null,null,null,null,null,null,null,39,null,"Fitzroy",263,null,null,68.0,null,1730,573,null,null,null,63,3,3,null
null,null,12,220,17,null,null,null,null,2016,null,101,null,1022,727,32,null,null,null,120,2738,351,null,24,null,4,7021,null,106,9,null,null,46.0,3,46,16.0,null,47,2052,8,70,197,null,null,24,38,5915,6427,null,1090,null,36.0,null,10.0,14,44,2,151,null,null,null,null,null,123,15,22,16,null,142,17,4,47.0,null,19,null,18,null,null,null,null,null,186,null,null,1090,null,null,70,null,null,"207031167",82,null,81,null,27,null,null,null,null,null,null,null,8,null,"Surrey Hills (East)  Mont Albert",125,null,4,63.0,null,2224,263,null,null,null,21,3,null,null
null,null,55,473,38,null,null,null,5,2016,3,196,null,1677,1266,98,null,null,null,240,4781,659,3,27,null,null,11761,null,167,26,null,null,99.0,18,70,3.0,null,142,3300,11,166,252,null,null,84,68,9862,10631,null,2005,null,62.0,null,37.0,25,68,null,304,null,null,null,null,null,227,25,24,59,null,216,28,5,100.0,null,36,null,35,null,null,null,null,null,357,null,null,2005,null,null,166,null,null,"208011172",138,null,218,null,70,null,null,null,null,null,null,null,32,null,"Hampton",262,null,3,103.0,null,3666,579,null,null,null,44,6,3,null
null,null,34,148,36,null,null,null,null,2016,null,102,null,624,554,268,null,null,null,96,2896,495,null,38,null,3,5859,null,62,39,null,null,76.0,5,22,2.0,null,65,1320,12,278,51,null,null,58,10,5097,5013,null,882,null,8.0,null,68.0,10,40,null,154,null,null,null,null,null,114,21,null,40,null,101,17,3,76.0,null,64,null,26,null,null,null,null,null,259,null,null,882,null,null,278,null,null,"206011106",96,null,153,null,38,null,null,null,null,null,null,null,6,null,"Brunswick East",134,null,3,78.0,null,1648,214,null,null,null,30,3,null,null
null,null,36,266,42,null,null,null,7,2016,3,130,null,1073,841,145,null,null,null,261,3565,777,3,52,null,5,8055,null,65,28,null,null,93.0,9,61,21.0,null,93,1999,12,274,167,null,null,35,129,6787,6887,null,1472,null,47.0,null,46.0,18,89,null,193,null,null,null,null,null,131,50,15,73,null,151,15,5,93.0,null,81,null,21,null,null,null,null,null,262,null,null,1472,null,null,274,null,null,"208011171",141,null,218,null,58,null,null,null,null,null,null,null,17,null,"Cheltenham  Highett (West)",180,null,4,114.0,null,2487,440,null,null,null,41,5,3,null
null,null,10,267,146,null,null,null,4,2016,222,146,null,2490,873,280,null,null,null,57,1603,1032,3,299,null,4,6576,null,333,24,null,null,85.0,11,62,210.0,null,32,3417,null,281,245,null,null,43,1,4153,4702,null,1423,null,5.0,null,80.0,30,36,16,168,null,null,null,null,null,127,56,33,10,null,190,15,4,86.0,null,15,7,31,null,null,null,null,null,135,null,null,1423,null,null,281,null,null,"206041119",135,null,202,null,32,null,null,null,null,null,null,null,24,null,"East Melbourne",181,null,null,296.0,null,1547,356,null,null,null,30,3,16,null
