p_zimbabwe_e, p_tot_es_ns, p_thailand_tot, p_srilanka_om_ie, p_cob_ns_tot, p_srilanka_tot, p_sthafrica_es_ns, p_poland_tot, p_turkey_es_ns, p_thailand_cfw, p_tot_e, p_poland_om_uie, p_uk_es_ns, p_poland_es_ns, p_turkey_om_ie, p_srilanka_cfw, p_sthafrica_cfw, p_philippines_e, p_singapore_e, p_singapore_om_uie, p_turkey_om_uie, p_cob_ns_es_ns, p_usa_tot, p_srilanka_es_ns, p_zimbabwe_tot, p_poland_om_ie, p_philippines_es_ns, p_cob_ns_om_uie, p_usa_cfw, p_vietnam_es_ns, p_singapore_om_ie, p_vietnam_om_ie, p_turkey_tot, p_vietnam_e, p_thailand_om_uie, p_thailand_om_ie, sa2_main16, p_tot_om_uie, p_elsewhere_om_uie, p_usa_es_ns, p_tot_cfw, p_elsewhere_es_ns, p_elsewhere_tot, p_uk_om_ie, p_sthafrica_e, p_vietnam_tot, p_singapore_tot, p_turkey_cfw, sa2_name16, p_tot_tot, p_singapore_es_ns, p_uk_e, p_srilanka_e, p_philippines_tot, p_srilanka_om_uie, p_zimbabwe_cfw, p_philippines_om_uie, p_usa_e, p_zimbabwe_om_ie, p_vietnam_cfw, p_poland_cfw, p_singapore_cfw, p_cob_ns_om_ie, p_sthafrica_om_ie, p_vietnam_om_uie, p_philippines_cfw, p_usa_om_ie, p_cob_ns_cfw, p_uk_cfw, p_tot_om_ie, p_turkey_e, p_thailand_e, p_cob_ns_e, p_sthafrica_om_uie, p_poland_e, p_zimbabwe_om_uie, p_zimbabwe_es_ns, p_uk_om_uie, p_usa_om_uie, p_thailand_es_ns, p_uk_tot, p_elsewhere_cfw, p_sthafrica_tot, p_elsewhere_om_ie, p_philippines_om_ie, p_elsewhere_e
16,92,81,5,113,84,0,35,0,0,8037,5,0,0,0,0,0,125,31,3,0,6,78,0,20,8,0,13,0,0,4,10,11,93,6,6,"206061136",887,58,0,128,11,759,54,86,124,35,0,"Prahran - Windsor",10219,0,353,74,133,8,0,3,54,0,12,0,0,9,22,12,0,13,0,5,1073,9,62,89,5,23,4,0,41,10,0,454,18,113,42,0,632
3,100,36,3,153,93,0,30,0,0,9673,3,4,0,0,0,0,135,52,0,9,6,116,0,3,0,0,13,0,0,0,29,23,192,3,3,"206071141",678,49,0,85,8,763,50,80,240,53,0,"Collingwood",11592,0,424,81,141,3,0,0,103,0,0,0,0,17,5,23,0,10,0,10,1055,13,34,119,3,27,0,0,30,3,0,520,9,92,48,3,655
0,17,0,0,27,8,0,0,0,0,865,0,0,0,3,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,"210031440",101,5,0,5,3,42,0,0,18,0,0,"Hadfield",1055,0,18,8,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,62,0,0,21,0,0,0,0,0,0,0,16,0,0,0,0,32
21,125,64,0,159,127,3,38,0,0,12398,0,8,0,3,0,0,187,61,3,3,12,142,0,21,3,0,3,0,0,0,13,23,201,3,0,"206071142",721,46,0,123,11,964,53,82,229,65,0,"Fitzroy",14207,0,572,120,195,4,0,0,112,0,6,0,0,21,0,5,0,16,3,11,839,15,59,119,3,31,0,0,40,5,0,673,13,94,28,3,866
0,18,3,3,27,14,0,3,0,0,1105,0,0,0,0,0,0,9,3,0,0,0,8,0,0,0,0,3,0,0,0,0,0,3,0,0,"210041240",243,4,0,48,0,24,7,7,3,3,0,"Sunbury",1587,0,52,5,7,0,0,3,8,0,0,0,0,0,0,0,0,0,5,3,175,0,3,17,3,3,0,0,21,0,0,93,4,8,4,0,21
0,73,21,0,75,13,0,14,5,0,4988,0,4,0,0,0,0,38,11,0,4,5,10,0,0,0,0,3,0,0,0,4,10,29,0,8,"210041241",541,18,0,118,3,131,26,22,49,9,0,"Sunbury - South",6243,0,176,14,44,0,0,0,5,0,0,0,0,4,0,15,0,0,0,0,524,4,14,59,0,6,0,0,27,0,0,231,5,25,13,0,93
0,6,0,5,7,10,0,7,0,0,721,3,0,0,0,0,0,15,3,3,0,0,3,0,4,0,0,0,0,0,0,0,0,10,0,0,"213051466",225,29,0,35,3,120,3,10,17,13,0,"Point Cook - South",1148,0,25,5,19,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,157,0,3,5,4,3,0,0,4,0,0,34,9,15,28,0,55
0,12,7,0,7,28,0,10,0,0,1116,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,"208021180",147,8,0,20,0,85,3,5,10,0,0,"Hughesdale",1436,0,35,25,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,140,0,5,8,0,4,0,0,6,0,0,40,0,9,4,0,67
10,66,33,20,79,223,0,15,0,0,7740,0,0,0,0,5,0,80,49,3,0,0,32,4,15,0,0,8,0,3,5,7,4,56,0,0,"211011260",421,30,0,95,10,406,16,67,79,59,0,"Wantirna South",8797,0,280,181,83,14,0,0,26,0,3,0,0,7,3,9,0,0,0,3,479,4,27,68,4,9,3,0,22,3,0,316,0,81,24,0,341
7,13,8,6,13,34,0,3,0,0,1134,0,0,0,0,0,0,17,0,0,0,0,3,0,7,0,0,5,0,0,0,3,3,9,0,0,"207031162",228,16,0,35,0,96,4,11,21,0,0,"Blackburn South",1587,0,45,24,23,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,175,0,8,10,7,3,0,0,5,0,0,57,0,10,9,3,70
